Date,ON,3M,6M,12M
02/01/2003,2.92375,2.86100,2.79400,2.73400
03/01/2003,2.91875,2.86300,2.81400,2.79700
06/01/2003,2.89625,2.86000,2.80100,2.77700
07/01/2003,2.88688,2.85900,2.79100,2.75200
08/01/2003,2.85875,2.85300,2.77700,2.73100
09/01/2003,2.84625,2.83400,2.75000,2.69900
10/01/2003,2.84250,2.83600,2.77000,2.73000
13/01/2003,2.84500,2.82900,2.76700,2.72200
14/01/2003,2.83688,2.82900,2.76800,2.72200
15/01/2003,2.83625,2.82900,2.76500,2.72300
16/01/2003,2.83750,2.82800,2.76100,2.72200
17/01/2003,2.83375,2.83000,2.76300,2.71900
20/01/2003,2.83125,2.82800,2.75600,2.70500
21/01/2003,2.82750,2.83100,2.76000,2.70200
22/01/2003,2.65375,2.82500,2.74800,2.68500
23/01/2003,2.11938,2.82300,2.74800,2.68300
24/01/2003,2.82469,2.81900,2.73200,2.66000
27/01/2003,2.82375,2.81400,2.72500,2.64500
28/01/2003,2.82250,2.81800,2.73300,2.66600
29/01/2003,2.82250,2.81300,2.72000,2.63800
30/01/2003,2.81625,2.81100,2.72100,2.65200
31/01/2003,2.86813,2.80700,2.71500,2.63600
03/02/2003,2.82625,2.80700,2.72500,2.65800
04/02/2003,2.82500,2.80500,2.71600,2.64400
05/02/2003,2.81625,2.79500,2.69900,2.60900
06/02/2003,2.81250,2.79000,2.69600,2.62400
07/02/2003,2.80250,2.76300,2.64000,2.55800
10/02/2003,2.79875,2.74000,2.61500,2.53300
11/02/2003,2.79625,2.74100,2.61900,2.54600
12/02/2003,2.79625,2.72800,2.59900,2.51300
13/02/2003,2.79188,2.70700,2.56900,2.48500
14/02/2003,2.79125,2.68700,2.56500,2.48900
17/02/2003,2.79375,2.69300,2.58200,2.51800
18/02/2003,2.79813,2.68900,2.57600,2.49900
19/02/2003,2.79375,2.68700,2.57600,2.49900
20/02/2003,2.79188,2.67900,2.55800,2.47400
21/02/2003,2.53531,2.67900,2.55700,2.47400
24/02/2003,2.79500,2.59200,2.46900,2.39900
25/02/2003,2.78750,2.57100,2.45600,2.38000
26/02/2003,2.78688,2.54500,2.44700,2.38300
27/02/2003,2.77500,2.51800,2.43200,2.37400
28/02/2003,2.83813,2.53300,2.45800,2.41200
03/03/2003,3.18875,2.50300,2.41800,2.36000
04/03/2003,3.30000,2.49200,2.40600,2.34300
05/03/2003,3.12500,2.47700,2.39900,2.34400
06/03/2003,2.88500,2.46100,2.40400,2.35300
07/03/2003,3.30000,2.52800,2.44100,2.35400
10/03/2003,3.30000,2.53700,2.43400,2.33600
11/03/2003,2.78125,2.54000,2.42900,2.33500
12/03/2003,2.67500,2.53800,2.43900,2.34700
13/03/2003,2.62625,2.54500,2.45500,2.38100
14/03/2003,2.62188,2.56700,2.49600,2.47100
17/03/2003,2.61875,2.56100,2.47200,2.42900
18/03/2003,2.60500,2.57600,2.50100,2.49900
19/03/2003,2.45906,2.56200,2.47400,2.46400
20/03/2003,2.38500,2.54400,2.47300,2.47400
21/03/2003,2.56531,2.53700,2.46300,2.46100
24/03/2003,2.57313,2.52900,2.47100,2.47300
25/03/2003,2.56938,2.52800,2.46200,2.45500
26/03/2003,2.57125,2.52700,2.46900,2.46800
27/03/2003,2.57625,2.52600,2.46100,2.44700
28/03/2003,2.57938,2.52900,2.46300,2.44700
31/03/2003,2.69125,2.52200,2.43500,2.39400
01/04/2003,2.56625,2.51400,2.42300,2.37300
02/04/2003,2.55625,2.50500,2.42500,2.39500
03/04/2003,2.54625,2.50200,2.42100,2.39100
04/04/2003,2.55125,2.51700,2.43400,2.40900
07/04/2003,2.56125,2.52800,2.45900,2.45500
08/04/2003,2.55500,2.52700,2.45400,2.44300
09/04/2003,2.55375,2.52300,2.44500,2.41900
10/04/2003,2.55625,2.51900,2.43600,2.40300
11/04/2003,2.55375,2.52200,2.45100,2.43300
14/04/2003,2.55875,2.54500,2.50400,2.50800
15/04/2003,2.55500,2.55500,2.53100,2.54200
16/04/2003,2.55500,2.56100,2.53200,2.53900
17/04/2003,2.74750,2.55600,2.51700,2.50500
22/04/2003,2.62594,2.55200,2.51100,2.49100
23/04/2003,2.63250,2.55200,2.50400,2.48000
24/04/2003,2.56688,2.55200,2.49900,2.46100
25/04/2003,2.56375,2.54300,2.47400,2.43500
28/04/2003,2.56313,2.53300,2.45400,2.40900
29/04/2003,2.56438,2.53100,2.45800,2.42500
30/04/2003,2.66813,2.53000,2.45700,2.42300
02/05/2003,2.56813,2.50400,2.40600,2.35500
05/05/2003,2.56750,2.50300,2.42200,2.38300
06/05/2003,2.56563,2.50200,2.40700,2.36200
07/05/2003,2.56375,2.47600,2.38300,2.32600
08/05/2003,2.54938,2.45500,2.36100,2.30300
09/05/2003,2.56250,2.47300,2.40100,2.34600
12/05/2003,2.56188,2.46700,2.37200,2.30500
13/05/2003,2.56500,2.46400,2.36400,2.31000
14/05/2003,2.56750,2.43000,2.32700,2.27600
15/05/2003,2.57063,2.42200,2.31200,2.26400
16/05/2003,2.56938,2.40800,2.30300,2.25500
19/05/2003,2.56938,2.38100,2.26500,2.20700
20/05/2003,2.60375,2.37400,2.27800,2.22200
21/05/2003,2.72375,2.36500,2.26500,2.19700
22/05/2003,2.58625,2.35800,2.26300,2.20100
23/05/2003,2.55844,2.34500,2.25000,2.18600
26/05/2003,2.57375,2.32100,2.23500,2.16800
27/05/2003,2.59375,2.30500,2.20700,2.13800
28/05/2003,2.62125,2.29400,2.22000,2.17000
29/05/2003,2.61000,2.29200,2.23000,2.17800
30/05/2003,2.70125,2.27200,2.20500,2.14200
02/06/2003,2.67125,2.25800,2.20000,2.15100
