Date,EUR/USD,JPY/USD,GBP/USD
01/01/2003,1.0501,0.00842389,1.6106
02/01/2003,1.036,0.00833541,1.5931
03/01/2003,1.0415,0.00834794,1.6075
06/01/2003,1.0472,0.00840336,1.6083
07/01/2003,1.0415,0.00830082,1.6042
08/01/2003,1.049,0.00839983,1.6118
09/01/2003,1.0485,0.00837310,1.6059
10/01/2003,1.0583,0.00839419,1.6094
13/01/2003,1.0547,0.00841821,1.6004
14/01/2003,1.0568,0.00847673,1.6059
15/01/2003,1.0546,0.00846740,1.604
16/01/2003,1.0617,0.00848752,1.6117
17/01/2003,1.0654,0.00848032,1.6169
20/01/2003,1.068,0.00847098,1.609
21/01/2003,1.0716,0.00846310,1.6156
22/01/2003,1.0716,0.00844808,1.6175
23/01/2003,1.0759,0.00847529,1.6219
24/01/2003,1.0838,0.00849112,1.6342
27/01/2003,1.0854,0.00843810,1.6364
28/01/2003,1.0819,0.00843028,1.6393
29/01/2003,1.0832,0.00844594,1.6468
30/01/2003,1.0805,0.00838855,1.6527
31/01/2003,1.0755,0.00833680,1.647
03/02/2003,1.0768,0.00831186,1.6413
04/02/2003,1.0877,0.00835142,1.6487
05/02/2003,1.0804,0.00833055,1.644
06/02/2003,1.0832,0.00834097,1.6371
07/02/2003,1.083,0.00831808,1.632
10/02/2003,1.0745,0.00824402,1.6281
11/02/2003,1.0733,0.00825491,1.6181
12/02/2003,1.0719,0.00824742,1.616
13/02/2003,1.0837,0.00829324,1.6208
14/02/2003,1.0774,0.00831047,1.6108
17/02/2003,1.0737,0.00832292,1.5995
18/02/2003,1.0686,0.00841538,1.5916
19/02/2003,1.0758,0.00842886,1.5971
20/02/2003,1.0823,0.00845665,1.5938
21/02/2003,1.0764,0.00842034,1.5795
24/02/2003,1.0793,0.00848176,1.5852
25/02/2003,1.0764,0.00853242,1.5743
26/02/2003,1.0801,0.00853898,1.5795
27/02/2003,1.0767,0.00850918,1.5804
28/02/2003,1.08,0.00846883,1.5739
03/03/2003,1.0887,0.00850195,1.5784
04/03/2003,1.0879,0.00848032,1.5811
05/03/2003,1.0973,0.00852514,1.6024
06/03/2003,1.0973,0.00852079,1.6023
07/03/2003,1.1007,0.00854773,1.601
10/03/2003,1.1045,0.00855431,1.6
11/03/2003,1.103,0.00853606,1.6058
12/03/2003,1.1003,0.00852733,1.6118
13/03/2003,1.0807,0.00843881,1.6011
14/03/2003,1.0742,0.00845379,1.5838
17/03/2003,1.0637,0.00844594,1.571
18/03/2003,1.0632,0.00841396,1.5665
19/03/2003,1.057,0.00829875,1.5635
20/03/2003,1.0606,0.00830840,1.5647
21/03/2003,1.053,0.00822368,1.564
24/03/2003,1.0645,0.00828500,1.5743
25/03/2003,1.065,0.00832085,1.5718
26/03/2003,1.0685,0.00832847,1.5744
27/03/2003,1.0687,0.00833402,1.5647
28/03/2003,1.078,0.00835421,1.5752
31/03/2003,1.0915,0.00847457,1.582
01/04/2003,1.0908,0.00847242,1.5778
02/04/2003,1.0767,0.00840901,1.5665
03/04/2003,1.0735,0.00836820,1.57
04/04/2003,1.073,0.00833680,1.5611
07/04/2003,1.0658,0.00832847,1.5514
08/04/2003,1.0716,0.00834724,1.555
09/04/2003,1.0757,0.00832154,1.5628
10/04/2003,1.08,0.00835701,1.5716
11/04/2003,1.0755,0.00829875,1.5713
14/04/2003,1.078,0.00831531,1.5734
15/04/2003,1.0815,0.00832500,1.5716
16/04/2003,1.0912,0.00837240,1.5804
17/04/2003,1.0881,0.00835910,1.5713
18/04/2003,1.0884,0.00835421,1.5735
21/04/2003,1.0865,0.00829531,1.562
22/04/2003,1.097,0.00834028,1.5775
23/04/2003,1.097,0.00830564,1.587
24/04/2003,1.103,0.00834028,1.5935
25/04/2003,1.1025,0.00830909,1.5885
28/04/2003,1.0985,0.00830288,1.5888
29/04/2003,1.1068,0.00834724,1.5945
30/04/2003,1.1176,0.00840901,1.599
01/05/2003,1.123,0.00843525,1.6093
02/05/2003,1.1227,0.00840689,1.604
05/05/2003,1.1282,0.00843170,1.607
06/05/2003,1.1436,0.00850846,1.6136
07/05/2003,1.137,0.00859475,1.596
