Date,ON,3M,6M,12M
02/01/2003,4.81438,4.01445,3.98250,3.99000
03/01/2003,4.00000,4.00750,4.00000,4.03625
06/01/2003,4.15313,4.00125,3.99625,4.02250
07/01/2003,4.50625,4.00250,4.00000,4.02750
08/01/2003,3.71625,3.99750,3.99000,4.00320
09/01/2003,3.75000,3.97609,3.96297,3.96484
10/01/2003,4.33500,4.00375,3.98250,4.00000
13/01/2003,3.56563,3.99625,3.98875,4.01125
14/01/2003,4.34188,4.00875,3.99750,4.02000
15/01/2003,4.36500,4.01250,4.00125,4.02766
16/01/2003,3.50000,3.99375,3.99938,4.02375
17/01/2003,3.40000,3.97500,3.97375,3.99625
20/01/2003,3.44063,3.97375,3.96750,3.97375
21/01/2003,3.39750,3.97375,3.97250,3.98125
22/01/2003,3.50000,3.96484,3.96234,3.96734
23/01/2003,3.44750,3.97625,3.97500,3.98680
24/01/2003,3.44313,3.97234,3.96234,3.96609
27/01/2003,3.38000,3.93844,3.92469,3.91250
28/01/2003,3.39125,3.93844,3.92625,3.91375
29/01/2003,3.41297,3.93594,3.90625,3.88000
30/01/2003,3.44469,3.95250,3.92375,3.90703
31/01/2003,4.21750,3.96250,3.92594,3.90203
03/02/2003,4.74500,3.98250,3.94250,3.92969
04/02/2003,3.50000,3.96625,3.92594,3.89453
05/02/2003,3.43813,3.95125,3.90000,3.87250
06/02/2003,3.62438,3.94750,3.90203,3.87313
07/02/2003,3.31094,3.72750,3.67125,3.62563
10/02/2003,4.33625,3.74125,3.68125,3.63875
11/02/2003,4.42750,3.73805,3.68375,3.64750
12/02/2003,4.59750,3.72875,3.65875,3.60938
13/02/2003,3.92594,3.70723,3.65000,3.59422
14/02/2003,3.68219,3.69875,3.65250,3.60750
17/02/2003,3.50375,3.70000,3.66500,3.62438
18/02/2003,3.27250,3.69375,3.66500,3.62438
19/02/2003,3.14500,3.69031,3.66375,3.61938
20/02/2003,3.63500,3.68594,3.64375,3.58250
21/02/2003,3.75375,3.69500,3.64000,3.58125
24/02/2003,4.25375,3.69344,3.61688,3.54000
25/02/2003,3.24500,3.68469,3.59922,3.52016
26/02/2003,3.87688,3.68844,3.60375,3.53016
27/02/2003,3.63313,3.68094,3.58625,3.52125
28/02/2003,3.39375,3.68344,3.59797,3.53266
03/03/2003,4.25000,3.68219,3.58422,3.51250
04/03/2003,3.73250,3.66750,3.57375,3.49875
05/03/2003,4.38500,3.66078,3.56406,3.47734
06/03/2003,3.83484,3.65000,3.56156,3.48375
07/03/2003,4.30875,3.66500,3.56281,3.47750
10/03/2003,4.49375,3.65000,3.52641,3.45125
11/03/2003,4.62688,3.64500,3.51750,3.44250
12/03/2003,4.75000,3.64750,3.52641,3.45500
13/03/2003,4.12313,3.64750,3.55156,3.50125
14/03/2003,3.25000,3.64500,3.58625,3.56406
17/03/2003,4.50000,3.64375,3.55969,3.53391
18/03/2003,3.44438,3.64578,3.59734,3.60047
19/03/2003,3.60125,3.64953,3.62188,3.64875
20/03/2003,3.13000,3.65203,3.63500,3.67500
