Date,ON,3M,6M,12M
02/01/2003,0.04125,0.06875,0.07625,0.09500
03/01/2003,0.04188,0.06375,0.07250,0.09250
06/01/2003,0.03875,0.06000,0.07375,0.09125
07/01/2003,0.04000,0.06250,0.07750,0.09313
08/01/2003,0.04000,0.06063,0.07688,0.09250
09/01/2003,0.04125,0.06438,0.07688,0.09375
10/01/2003,0.03875,0.06500,0.07938,0.09375
13/01/2003,0.03875,0.06500,0.07938,0.09375
14/01/2003,0.03625,0.06375,0.07813,0.09375
15/01/2003,0.03500,0.06000,0.07563,0.09375
16/01/2003,0.03875,0.06250,0.07813,0.09500
17/01/2003,0.03688,0.06250,0.07875,0.09500
20/01/2003,0.04000,0.06250,0.07813,0.09500
21/01/2003,0.04000,0.06125,0.07688,0.09438
22/01/2003,0.04000,0.06000,0.07563,0.09313
23/01/2003,0.03750,0.05875,0.07813,0.09313
24/01/2003,0.03719,0.05750,0.07813,0.09313
27/01/2003,0.03875,0.05938,0.07875,0.09313
28/01/2003,0.03875,0.05875,0.07938,0.09313
29/01/2003,0.03688,0.06063,0.08000,0.09438
30/01/2003,0.03813,0.06000,0.07875,0.09313
31/01/2003,0.03688,0.06125,0.07688,0.09438
03/02/2003,0.03875,0.06125,0.07625,0.09438
04/02/2003,0.03875,0.06000,0.07500,0.09313
05/02/2003,0.03875,0.06250,0.07875,0.09438
06/02/2003,0.03875,0.06250,0.07875,0.09438
07/02/2003,0.03875,0.06000,0.07750,0.09313
10/02/2003,0.03875,0.05813,0.07375,0.09313
11/02/2003,0.03750,0.05813,0.07375,0.09313
12/02/2003,0.03875,0.05813,0.07438,0.09188
13/02/2003,0.03875,0.05688,0.07375,0.09063
14/02/2003,0.03875,0.05938,0.07125,0.09063
17/02/2003,0.03875,0.05938,0.07500,0.09313
18/02/2003,0.03875,0.05875,0.07500,0.09313
19/02/2003,0.03875,0.05750,0.07500,0.09188
20/02/2003,0.03875,0.05750,0.07500,0.09188
21/02/2003,0.03875,0.06000,0.07625,0.09313
24/02/2003,0.03875,0.06000,0.07500,0.09313
25/02/2003,0.03875,0.05688,0.07250,0.09188
26/02/2003,0.04000,0.05688,0.07375,0.09188
27/02/2003,0.03875,0.05813,0.07125,0.09188
28/02/2003,0.03875,0.05938,0.07250,0.09313
03/03/2003,0.03938,0.05750,0.07250,0.09250
04/03/2003,0.03938,0.05875,0.07250,0.09250
05/03/2003,0.03938,0.05500,0.07125,0.09125
06/03/2003,0.03938,0.05625,0.07125,0.09125
07/03/2003,0.03813,0.05563,0.07250,0.09250
10/03/2003,0.03750,0.05438,0.07000,0.09125
11/03/2003,0.03500,0.05313,0.07250,0.09250
12/03/2003,0.03875,0.05438,0.07063,0.09125
13/03/2003,0.03875,0.05563,0.07188,0.09125
14/03/2003,0.03875,0.05563,0.07188,0.09125
17/03/2003,0.03750,0.05688,0.07125,0.09125
18/03/2003,0.03875,0.05625,0.07188,0.09125
19/03/2003,0.03875,0.05750,0.07250,0.09250
20/03/2003,0.03875,0.05563,0.07125,0.09125
21/03/2003,0.03875,0.05563,0.07125,0.09125
24/03/2003,0.03875,0.05438,0.07000,0.09125
25/03/2003,0.04250,0.05563,0.07125,0.09125
26/03/2003,0.04375,0.05688,0.07063,0.09000
27/03/2003,0.05000,0.05625,0.07250,0.09250
28/03/2003,0.04375,0.05688,0.07375,0.09250
31/03/2003,0.04063,0.05688,0.07500,0.09375
01/04/2003,0.04063,0.05688,0.07375,0.09375
02/04/2003,0.04313,0.06000,0.07625,0.09375
03/04/2003,0.04313,0.06063,0.07500,0.09375
04/04/2003,0.04375,0.06125,0.07625,0.09375
07/04/2003,0.04250,0.06000,0.07500,0.09375
08/04/2003,0.04375,0.06000,0.07375,0.09375
09/04/2003,0.04375,0.06000,0.07500,0.09375
10/04/2003,0.04375,0.06250,0.07625,0.09500
11/04/2003,0.04375,0.06125,0.07625,0.09500
14/04/2003,0.04375,0.06000,0.07500,0.09375
15/04/2003,0.04375,0.06125,0.07625,0.09500
16/04/2003,0.04375,0.06000,0.07625,0.09375
17/04/2003,0.04375,0.06250,0.07625,0.09375
22/04/2003,0.04250,0.06063,0.07438,0.09375
23/04/2003,0.04375,0.06063,0.07500,0.09375
24/04/2003,0.04375,0.06000,0.07375,0.09375
25/04/2003,0.04375,0.06000,0.07375,0.09375
28/04/2003,0.04375,0.06000,0.07375,0.09375
29/04/2003,0.04375,0.06000,0.07375,0.09375
30/04/2003,0.04375,0.06000,0.07250,0.09375
01/05/2003,0.04250,0.06125,0.07375,0.09500
02/05/2003,0.04375,0.06125,0.07375,0.09500
06/05/2003,0.04375,0.06125,0.07375,0.09500
07/05/2003,0.04375,0.06063,0.07250,0.09375
08/05/2003,0.04375,0.06063,0.07375,0.09375
09/05/2003,0.04250,0.05938,0.07000,0.09125
12/05/2003,0.04125,0.06000,0.07325,0.09250
13/05/2003,0.03875,0.06000,0.07300,0.09250
14/05/2003,0.03375,0.05750,0.07138,0.09188
15/05/2003,0.03500,0.05875,0.07325,0.09188
16/05/2003,0.03625,0.05813,0.07200,0.09188
19/05/2003,0.03625,0.05813,0.07325,0.09313
20/05/2003,0.03625,0.05625,0.06950,0.08938
21/05/2003,0.03500,0.05625,0.06950,0.08938
22/05/2003,0.03500,0.05625,0.06950,0.08938
23/05/2003,0.03500,0.05813,0.07000,0.09063
27/05/2003,0.03500,0.05938,0.07125,0.09188
28/05/2003,0.03500,0.06000,0.07250,0.09188
29/05/2003,0.03500,0.05750,0.07000,0.09063
30/05/2003,0.03500,0.05625,0.07000,0.09063
02/06/2003,0.03875,0.05875,0.07250,0.09188
03/06/2003,0.03875,0.05750,0.07125,0.09063
04/06/2003,0.03875,0.05875,0.07250,0.09188
05/06/2003,0.03875,0.05875,0.07250,0.09188
06/06/2003,0.03938,0.05813,0.07125,0.09188
09/06/2003,0.03938,0.05813,0.07125,0.09063
10/06/2003,0.03938,0.05688,0.07125,0.09188
11/06/2003,0.03875,0.05750,0.07250,0.09188
12/06/2003,0.03875,0.05788,0.07200,0.09063
13/06/2003,0.03813,0.05850,0.07325,0.09313
16/06/2003,0.03938,0.05688,0.07063,0.08938
17/06/2003,0.04000,0.05750,0.07188,0.09063
18/06/2003,0.04000,0.05875,0.07188,0.09063
19/06/2003,0.04000,0.05875,0.07313,0.09188
20/06/2003,0.04000,0.05875,0.07188,0.09063
23/06/2003,0.03875,0.05750,0.07038,0.08938
24/06/2003,0.03625,0.05188,0.06750,0.08688
25/06/2003,0.03375,0.05625,0.06913,0.08938
26/06/2003,0.03750,0.05750,0.07038,0.09063
27/06/2003,0.03263,0.05875,0.07163,0.08938
30/06/2003,0.03750,0.05625,0.07250,0.08938
01/07/2003,0.03750,0.05625,0.07375,0.09063
02/07/2003,0.03625,0.05688,0.07375,0.08938
03/07/2003,0.03750,0.05688,0.07375,0.08938
04/07/2003,0.03563,0.05375,0.07250,0.08750
07/07/2003,0.03625,0.05313,0.07125,0.08563
08/07/2003,0.03625,0.05188,0.07125,0.08563
09/07/2003,0.03500,0.05063,0.07125,0.08563
10/07/2003,0.03500,0.04688,0.06875,0.08438
11/07/2003,0.03500,0.04688,0.06625,0.08313
14/07/2003,0.03500,0.04688,0.06750,0.08313
15/07/2003,0.03500,0.04563,0.06625,0.08438
16/07/2003,0.03500,0.04563,0.06625,0.08313
17/07/2003,0.03500,0.04563,0.06625,0.08438
18/07/2003,0.03500,0.04688,0.06500,0.08313
21/07/2003,0.03500,0.04563,0.06625,0.08438
22/07/2003,0.03500,0.04563,0.06625,0.08313
23/07/2003,0.03500,0.04813,0.07000,0.08813
24/07/2003,0.03500,0.04938,0.06875,0.08688
25/07/2003,0.03500,0.04938,0.06875,0.08688
28/07/2003,0.03438,0.05125,0.06813,0.08625
29/07/2003,0.03375,0.05063,0.06750,0.08563
30/07/2003,0.03500,0.05125,0.06813,0.08563
31/07/2003,0.03500,0.05250,0.06688,0.08688
01/08/2003,0.03500,0.05375,0.06938,0.08938
04/08/2003,0.03500,0.05125,0.06625,0.08563
05/08/2003,0.03500,0.05250,0.06875,0.08938
06/08/2003,0.03500,0.05125,0.06625,0.08563
07/08/2003,0.03438,0.05250,0.06938,0.08875
08/08/2003,0.03438,0.05250,0.06688,0.08750
11/08/2003,0.03500,0.05375,0.07000,0.08938
12/08/2003,0.03500,0.05250,0.06750,0.08688
13/08/2003,0.03563,0.05438,0.07063,0.08938
14/08/2003,0.03563,0.05313,0.06688,0.08813
15/08/2003,0.03500,0.05300,0.06738,0.08875
