Date,ON,3M,6M,12M
02/01/2003,1.36125,1.38000,1.38000,1.45750
03/01/2003,1.31250,1.39000,1.40375,1.54000
06/01/2003,1.30750,1.38875,1.40563,1.54875
07/01/2003,1.29875,1.38750,1.40063,1.55000
08/01/2003,1.27500,1.38000,1.39000,1.51000
09/01/2003,1.29625,1.38000,1.39000,1.51125
10/01/2003,1.28625,1.38000,1.40000,1.54625
13/01/2003,1.29750,1.37563,1.39000,1.52000
14/01/2003,1.30125,1.37313,1.39000,1.51000
15/01/2003,1.35125,1.37000,1.38000,1.49000
16/01/2003,1.29125,1.37000,1.38000,1.48250
17/01/2003,1.25500,1.36875,1.37000,1.46938
20/01/2003,1.25500,1.36375,1.36875,1.45313
21/01/2003,1.30000,1.36250,1.36875,1.46000
22/01/2003,1.30625,1.36000,1.36000,1.44250
23/01/2003,1.29500,1.35250,1.35250,1.45000
24/01/2003,1.26125,1.34938,1.35000,1.43000
27/01/2003,1.29000,1.34125,1.34188,1.42375
28/01/2003,1.29250,1.34000,1.34375,1.45000
29/01/2003,1.28500,1.34000,1.34000,1.43000
30/01/2003,1.29500,1.35000,1.35000,1.47500
31/01/2003,1.35250,1.35000,1.34875,1.45000
03/02/2003,1.30625,1.35000,1.35000,1.46000
04/02/2003,1.30375,1.35000,1.35000,1.45125
05/02/2003,1.28750,1.34875,1.34875,1.44000
06/02/2003,1.29000,1.35000,1.35000,1.44000
07/02/2003,1.25625,1.35000,1.35000,1.43750
10/02/2003,1.28875,1.34938,1.35000,1.42000
11/02/2003,1.28500,1.35000,1.35000,1.43000
12/02/2003,1.27500,1.34000,1.34000,1.40000
13/02/2003,1.27250,1.34000,1.34000,1.39000
14/02/2003,1.26625,1.34000,1.34000,1.39000
17/02/2003,1.26625,1.34000,1.34000,1.42125
18/02/2003,1.36500,1.34000,1.34000,1.41000
19/02/2003,1.30625,1.34000,1.34000,1.41750
20/02/2003,1.29625,1.34000,1.34000,1.40000
21/02/2003,1.26875,1.34000,1.34000,1.40000
24/02/2003,1.29000,1.34000,1.34000,1.39750
25/02/2003,1.29000,1.34000,1.34000,1.38375
26/02/2003,1.29500,1.34000,1.34000,1.38750
27/02/2003,1.32000,1.33875,1.33875,1.36625
28/02/2003,1.37125,1.34000,1.34000,1.38125
03/03/2003,1.36375,1.33875,1.33938,1.38000
04/03/2003,1.33625,1.33063,1.33000,1.35625
05/03/2003,1.31625,1.32250,1.32125,1.33000
06/03/2003,1.30000,1.31750,1.31375,1.32000
07/03/2003,1.26625,1.31469,1.31188,1.31969
10/03/2003,1.29875,1.26250,1.21375,1.21375
11/03/2003,1.28000,1.23125,1.17000,1.19000
12/03/2003,1.27625,1.23000,1.18000,1.21000
13/03/2003,1.27875,1.25875,1.22750,1.29250
14/03/2003,1.32125,1.27875,1.26000,1.36250
17/03/2003,1.36375,1.26063,1.21875,1.28500
18/03/2003,1.29250,1.27000,1.24000,1.36000
19/03/2003,1.28500,1.28625,1.26750,1.39000
20/03/2003,1.30125,1.29000,1.27750,1.39625
21/03/2003,1.27375,1.29000,1.27750,1.39938
24/03/2003,1.29750,1.29000,1.28000,1.40000
25/03/2003,1.29750,1.29000,1.28000,1.38000
26/03/2003,1.30125,1.29000,1.28000,1.38875
