,BNPIFEU,BNPIFUS,BNPIFJP,BNPIFCN,BNPIFFR,BNPIFGE,BNPIFGB,BNPIFCH,BNPIFKR,BNPIFUSC,BNPIFBR,BNPIFAU,BNPIFHK,BNPIFTW,BNPIFSG,BNPIFIT,BNPIFSP,BNPIFSW,BNPIFNE,BNPIFRU,BNPIFEM,BNPIFJT,BNPIFE10,BNPIFEU2,BNPIFEU5,BNPIFE30,BNPIFJ10,BNPIFU10,BNPIFUS2,BNPIFU30,BNPIFUS5,BNPIFA10,BNPIFAU3,BNPIFI10,BNPIFF10,BNPIFG10,BPFXEUR1,BPFXGBP1,BPFXCHF1,BPFXJPY1,BPFXAUD1,BPFXNZD1,BPFXNOK1,BPFXSEK1,BPFXCAD1,BPFXCZK1,BPFXPLN1,BPFXHUF1,BPFXTRY1,BPFXZAR1,BPFXSGD1,BPFXMXN1,BPFXINR1,BPFXKRW1,BPFXPHP1,BPFXTWD1,BPFXBRL1,BPFXCLP1,BPFXCOP1,SPGSCLP ,SPGSHOP ,SPGSGOP ,SPGSBRP ,SPGSHUP ,SPGSNGP ,SPGSIAP ,SPGSICP ,SPGSIZP ,SPGSIKP ,SPGSILP ,SPGSGCP ,SPGSSIP ,BNPXCEB5,BNPXCEX5,BNPXCIG5,BNPXCHY5
03/01/2007,251.6590373,221.4463805,123.5690267,122.4532162,213.419777,187.3519292,143.3964943,295.2762035,289.6684,214.6331232,74.41255645,233.4419323,212.3784749,131.2538,100,155.621185,361.2520978,384.6995055,227.7966828,210.7053,124.918308,124.325849,150.9773693,113.7325284,132.7398521,93.62841514,160.2822601,141.5269913,112.8174332,154.2637482,125.8831781,101.9924139,117.21228,126.6283015,100,127.5879845,105.1767476,156.2618488,90.45272825,60.80539759,145.228258,162.0889,134.1516071,113.3267,115.1336179,144.134,196.6622,193.3835,346.474,141.1549,95.2536,173.2513,138.4561,143.1584,143.1273,94.2532,158.2575,100.6417,112.8592,544.1366328,249.5235971,525.996,667.8625,485.4757398,6.0097052,137.5039574,473.7993558,201.4023763,681.783642,197.5363,104.3265982,164.1012754,102.6203791,121.3279871,101.3946,111.8681
04/01/2007,250.8919286,221.7527672,124.485468,116.8405302,212.022884,186.8127849,142.6253141,294.9788078,285.5191,215.2970534,73.67463792,231.1254914,207.7193339,130.9012,100,154.7874853,360.4389337,381.7939753,227.1787716,210.7053,123.1752786,125.6426112,151.2500038,113.752766,132.873506,93.85404984,160.0317999,141.6205407,112.9124407,154.45333,126.1733403,102.29425,117.3223895,126.8048019,100,127.7059063,104.3231343,155.6368835,89.91653992,60.86363998,143.7976874,160.0532,132.6106324,111.6496,114.5934712,142.0842,192.8033,190.2577,343.5502,137.3661,94.8961,171.8438,138.2015,142.3712,143.3142,93.8518,157.8638,100.1824,112.8708,518.6652444,242.4531226,518.2035,636.1888,466.0746282,6.0087299,135.3631002,463.0164527,198.6573463,714.9137842,194.633,103.7302443,166.2383582,102.6062935,121.1989036,101.3865,111.9625
05/01/2007,247.9419256,220.2964305,122.4350191,116.3549515,210.2024216,184.8007522,141.2207052,294.5595782,283.5307,211.4365748,70.68453226,230.4722933,209.8616471,128.8032,100,154.0520401,359.7371702,380.9893664,224.6235919,210.7053,119.5559509,123.8873006,150.5950154,113.6672966,132.5635901,93.1387426,159.9216705,141.2320491,112.834719,153.8291837,125.9117892,102.5217262,117.3854421,126.3529614,100,127.4476331,103.5580795,154.2726861,89.36778317,61.14913018,142.6445176,157.9192,131.765852,111.1102,114.5982908,141.1137,191.4877,188.7664,339.5785,134.7189,95.0701,170.5858,138.5665,142.1573,143.1649,93.4391,157.5347,100.2343,112.3745,525.3830083,246.0197509,509.6317,643.5416,467.9863944,6.0301831,130.9323809,454.50362,190.0849686,691.8355016,186.9479,100.5332881,158.4024156,102.5781024,120.9346943,101.3762,111.8818
08/01/2007,247.6198064,220.8492065,122.4350191,114.4896751,209.896589,184.9140223,140.4669468,292.8894697,280.1748,211.6602371,71.58426368,227.401371,208.1660487,126.813,100,153.7200557,360.2170289,379.9614038,223.6624497,210.7053,120.3711293,123.8873006,150.7000171,113.69453,132.6325222,93.17672198,159.9216705,141.4224029,112.7742829,154.1802926,125.8712779,102.1771214,117.2262148,126.4591439,100,127.542757,103.6725288,154.8321834,89.45991939,61.19370866,143.0021356,157.8653,131.9318,111.0216,114.4458159,141.3181,192.1196,189.593,339.1457,134.6302,95.0252,170.039,138.2285,141.435,143.2546,93.0634,157.2389,99.7269,112.3989,523.3303488,244.6528063,511.45,643.0891,460.2760596,6.2193579,131.1314334,454.3414786,180.7420152,655.4230635,178.5796,100.9473746,160.0861753,102.5790035,121.0929157,101.3728,112.0847
09/01/2007,247.9805353,220.7388113,123.6304648,112.9961762,210.5562132,185.1647835,140.5185702,293.9177015,281.493,211.9940644,70.18135405,230.7982016,206.8376218,128.0636,100,153.8702045,359.3916403,379.4648983,225.2892763,192.0381,117.6651515,125.1181671,150.3408592,113.6453392,132.4867044,92.60813716,159.570919,141.5581273,112.7484184,154.5564806,125.8569723,102.1391058,117.2103073,126.2094735,100,127.4359147,103.6084882,155.3100269,89.15450667,60.75774473,142.8736105,158.6164,132.0747334,110.7052,114.2649492,141.0467,191.4497,188.7961,338.6657,133.8018,95.0129,169.6253,138.1535,141.4772,143.8316,93.2315,157.2628,99.8893,111.8988,518.834866,244.4526684,506.9927,637.7471,460.0892866,6.4536987,133.409542,455.606126,171.293663,634.1544553,177.6339,101.8732653,163.1298766,102.5839007,121.2002845,101.3697,112.1646
10/01/2007,245.7494107,221.1217946,121.4976745,109.2581696,209.2429856,183.941361,139.6657493,293.0745955,277.3098,212.1255959,70.70350927,228.0575699,203.4472695,125.5522,100,153.0158718,355.5010453,376.1439458,223.6672464,192.5801,117.3767726,122.9686425,150.2559966,113.6289264,132.4505323,92.43807724,159.8401144,141.3383358,112.7138469,154.0754416,125.7321469,102.1011422,117.1787476,126.0772977,100,127.3532614,103.1553004,154.8588779,88.77919418,60.61410294,142.1842574,157.6037,130.2362837,109.7015,114.4222437,140.207,190.2198,186.2144,338.407,133.0953,94.8679,169.1313,137.9996,141.0478,143.4442,92.9761,157.0228,99.7033,111.3199,503.2550355,239.4711326,506.4756,617.6028,447.6357268,6.5592603,136.6341927,476.428945,182.5273407,683.7830802,183.8363,101.6092201,161.1870791,102.5792207,121.0907228,101.3716,112.2434
11/01/2007,250.1583043,222.4379375,120.8772682,107.4287558,212.9795719,187.0924336,141.2842121,296.8506292,279.3249,214.7111404,71.23893649,229.7070846,201.1348863,124.9871,100,154.9920685,360.4667818,385.0461576,226.9281656,196.3526,118.8445688,122.5060959,150.3203239,113.6887186,132.5608112,92.30594673,159.6561756,141.0750956,112.6103886,153.5395685,125.4632531,101.910026,117.0831213,126.1768396,100,126.961235,102.7147637,155.3684891,88.52840576,60.19812246,142.9162875,158.9189,129.4433874,109.3813,114.4037539,139.6882,190.0325,186.8762,341.0637,134.421,94.5738,170.0731,137.9466,141.1765,143.0934,92.9188,157.6887,100.6331,112.2541,483.635219,232.293339,504.7213,593.229,435.0657502,6.1294733,137.8745742,478.0011745,189.2052407,712.7902118,187.2605,101.7013933,161.3813644,102.5944542,121.3293463,101.378,112.4917
12/01/2007,250.6560445,223.5462893,122.3578204,109.7337345,213.331459,187.1166309,141.2864485,298.6882431,282.8592,216.2636432,71.92244062,232.326849,203.6331515,128.5998,100,155.5499455,361.4885853,384.824985,227.9692965,195.2685,121.2436946,124.6181417,149.7499572,113.6283554,132.3215433,91.43071336,159.5745348,140.5862614,112.5672383,152.6355836,125.2196789,101.7959068,117.0514619,125.7130185,100,126.5190055,103.0439893,156.866159,88.70330023,60.24449433,143.2414037,158.4923,129.9285128,110.3326,115.0989167,139.5411,190.4335,188.2186,341.9551,134.8619,94.565,169.9606,137.8555,140.9333,142.9706,92.7209,158.0346,100.3607,112.767,493.2439608,235.640947,489.3752,602.7091,445.9476833,6.4203729,135.9206368,466.1848613,184.0659515,693.3183989,185.0209,103.8380107,166.8211863,102.5957584,121.4754562,101.3806,112.6195
15/01/2007,251.6155905,223.5462893,123.5547548,113.5947347,214.1165906,188.4684855,142.0255605,301.3104979,284.024,216.2636432,71.54965196,234.232012,208.0061336,128.5707,100,156.4721406,363.6452292,389.5059194,229.5248072,202.1685,121.2436946,126.0413329,149.8618061,113.6323903,132.3644044,91.7340978,159.4687783,140.5862614,112.5672383,152.6355836,125.2196789,101.6820462,117.0037378,125.8000548,100,126.5665457,102.9929922,157.1886672,88.67613309,60.15397097,143.4130011,159.2322,130.0807327,110.4136,115.21301,139.7987,190.5445,188.9024,344.1224,135.4561,94.6707,170.5413,138.8275,141.283,143.2265,92.9495,158.1877,100.251,112.767,493.2439608,235.640947,489.3752,602.7091,445.9476833,6.4203729,135.9206368,466.1848613,184.0659515,693.3183989,185.0209,103.8380107,166.8211863,102.6086601,121.6706345,101.3806,112.6195
16/01/2007,250.3265136,223.5472893,123.4665858,113.6173178,212.4175774,187.5994831,140.6848216,300.1310745,284.4113,215.3793831,71.03288692,235.0798789,207.8436427,128.8822,100,155.685342,361.5969848,388.3860726,228.9985868,200.4177,121.606448,125.9637456,149.9973286,113.6284725,132.3744917,92.01859466,159.6373813,140.8729951,112.5931029,153.0532869,125.4446432,101.8712687,117.0512915,126.0352807,100,126.6492052,103.0125084,156.9325933,88.59443833,60.02775066,143.2471335,159.6136,130.3099711,110.6211,114.8659982,139.4704,190.2273,188.4242,342.5643,134.9031,94.8471,169.8056,138.7697,141.5248,143.4129,92.8007,157.9703,99.8416,112.7721,475.755666,231.2717755,488.3476,583.2453,427.4136238,6.4088702,135.0673651,462.9030364,181.3043054,718.3731015,182.3908,103.6741087,163.5184472,102.6117591,121.7295308,101.4128,112.854
