,BNPIDRXA,BNPIF3AX,BNPIF3XM,BPFXSTGU,BNPICCE3,BNPIVMRU,BPCURVW4,BNPIVCXA,BNPIAIRT,BPFXGGUR,BNPIFXMG,BNPIAIRU,BNPIAIRG,BNPIAIRJ,BNPIAIRE,BNPIEC03,BNPIAIRB,BNPIPLEE,BNPIPMEE,BNPIPQEE,BNPIPVEE,BNPILUEE,BNPIPMUH,BNPIPQUH,BNPIPVUH,BNPIMDEA,BNPIAIFH,BNPICVXA
03/01/2007,153.6663,181.5663,112.1145,90.1218,100.0,95.4872,105.6487,,99.9994,150.4603,130.951,,100.0,,78.2918,100.0,99.9977,128.0786,148.1003,120.9601,137.488,109.1312,109.6681,114.6682,112.6115,864.8248,,
04/01/2007,153.699,183.3276,112.9935,90.228,100.0,95.5542,105.6708,,99.9986,150.2949,130.0979,,100.0083,100.0,78.298,100.01,99.9996,128.1707,147.7733,120.4843,136.8767,108.8743,109.8051,114.6962,112.2605,864.9515,,
05/01/2007,154.2276,180.1691,111.9295,90.3846,99.9697,95.3608,105.6251,,100.0106,149.5454,129.1806,,99.9424,99.9876,78.2762,99.9693,99.985,128.2099,149.1407,121.0231,137.4881,108.7382,109.5945,114.6205,112.4398,855.8688,,
08/01/2007,154.3188,177.3272,110.6079,90.3826,99.9952,95.4417,105.6079,,100.0222,149.5987,129.3281,,99.9642,,78.2842,99.9757,100.0028,128.5503,150.1971,121.5947,137.8128,108.8844,109.6909,114.4555,112.2247,854.7843,,
09/01/2007,154.0072,175.6288,109.6858,90.3365,99.9761,95.462,105.5857,,100.0333,150.446,129.6373,,100.0306,99.9128,78.3113,100.0067,100.0029,128.5082,150.2008,121.571,137.8311,109.0599,109.8676,114.1862,112.0361,855.2095,,
10/01/2007,153.6437,181.2081,111.1369,90.3307,100.0308,95.6212,105.569,,100.0293,150.6592,129.0498,,100.0128,99.7902,78.2811,99.9018,100.0074,128.4942,150.4503,121.8938,137.9472,109.1209,110.03,114.3783,111.5369,849.7101,,
11/01/2007,153.9421,186.282,113.443,90.2947,100.0951,96.2233,105.509,,99.9958,151.9302,129.4378,,100.0214,99.7513,78.2339,100.1277,100.0091,128.5806,150.2281,121.4676,137.4911,109.2534,110.2732,114.6193,111.4816,852.1761,,
12/01/2007,152.9406,181.7087,112.1527,90.3283,100.2382,96.3789,105.4695,,100.0139,151.3591,129.7329,,100.2315,99.8331,78.319,100.1934,99.9864,128.3584,150.0704,121.3282,137.6825,109.1368,110.2887,114.0822,111.7965,854.619,,
16/01/2007,153.5103,183.8287,113.6118,90.2959,100.2621,96.4545,105.4688,,100.0394,151.8102,130.1389,,100.2274,99.7489,78.3197,100.247,100.0056,129.1524,150.6383,121.6057,138.5877,109.3175,110.4379,114.0074,111.4705,862.827,,
17/01/2007,153.6763,184.6218,115.0639,90.2135,100.2642,96.4467,105.4333,,100.0452,151.7809,130.2624,,100.3259,99.7481,78.3204,100.1891,100.0162,129.1824,151.2499,121.7559,139.1795,109.4525,110.3137,114.0172,111.7811,866.0884,,
18/01/2007,154.2828,184.2237,115.5536,90.1592,100.2195,96.3664,105.4295,,100.0734,152.677,130.6526,,100.2192,99.7595,78.3941,100.178,100.013,129.1131,151.5087,121.7991,139.3647,109.6306,109.8745,113.7073,111.9788,868.111,,
19/01/2007,151.8265,181.2934,113.6579,90.1508,100.3497,96.5533,105.4127,,100.105,152.7106,130.6146,,100.4947,100.0398,78.5648,100.5743,100.0111,129.0971,151.3696,121.7159,139.3907,109.5051,110.2616,113.7402,112.1812,867.4856,,
