Ticker,Name,Asset class,Style,Return Type,Currency
BNPIDRXA,BNP Paribas DR Alpha ex-Agriculture and Livestock Index,Commodities,Carry,ER,EUR
BNPIF3AX,BNP Paribas Alpha Backwardation ex-Agriculture and Livestock,Commodities,Carry,ER,EUR
BNPIF3XM,BNP Paribas Alpha Momentum ex-Agriculture and Livestock Index,Commodities,Momentum,ER,EUR
BPFXSTGU,BNP Paribas 1M STEER Index,FX,Value,ER,EUR
BNPICCE3,BNP Paribas 103 Call Carry Excess Return Index,Equity,Carry,ER,EUR
BNPIVMRU,BNP Paribas Volatility Mean Reversion US,Equity,Reversal,ER,EUR
BPCURVW4,BNP Paribas Money Market Beta World Index,IR,Carry,ER,EUR
BNPIVCXA,BNP Paribas Commodity Short Variance VCXA ER Index,Commodities,Short Variance,ER,EUR
BNPIAIRT,BNP Paribas AIR T-Note ER Index,Equity,Volatility,ER,EUR
BPFXGGUR,BNP Paribas GALAXY G10 Excess Return USD Index,FX,Carry,ER,EUR
BNPIFXMG,BNP PARIBAS FX G10 Time Series Momentum ER Index,FX,Momentum,ER,EUR
BNPIAIRU,BNP Paribas AIR US,Equity,Volatility,ER,EUR
BNPIAIRG,BNP Paribas AIR UK,Equity,Volatility,TR,GBP
BNPIAIRJ,BNP Paribas AIR Japan,Equity,Volatility,TR,JPY
BNPIAIRE,BNP Paribas AIR Europe,Equity,Volatility,TR,EUR
BNPIEC03,BNP Paribas 103 EU Call Carry Total Return Index,Equity,Carry,ER,EUR
BNPIAIRB,BNP Paribas AIR Bund ER Index,IR,Volatility,ER,EUR
BNPIPLEE,BNP Paribas Equity Low Vol Europe LS (ER) Index,Equity,Low Volatility,ER,EUR
BNPIPMEE,BNP Paribas Equity Momentum Europe LS (ER) Index,Equity,Momentum,ER,EUR
BNPIPQEE,BNP Paribas Equity Quality Europe LS (ER) Index,Equity,Quality,ER,EUR
BNPIPVEE,BNP Paribas Equity Value Europe LS (ER) Index,Equity,Value,ER,EUR
BNPILUEE,BNP Paribas Equity Low Vol US LS ER (EUR-Hedged) Index,Equity,Low Volatility,ER,EUR
BNPIPMUH,BNP Paribas Equity Momentum US LS ER (EUR-Hedged) Index,Equity,Momentum,ER,EUR
BNPIPQUH,BNP Paribas Equity Quality US LS ER (EUR-Hedged) Index,Equity,Quality,ER,EUR
BNPIPVUH,BNP Paribas Equity Value US LS ER (EUR-Hedged) Index,Equity,Value,ER,EUR
BNPIMDEA,BNP Paribas Multi-Asset Diversified vol 10 ER ex Agri,Cross-Asset,Momentum,ER,EUR
BNPIAIFH,BNP Paribas AIR FX ER EUR Index,FX,Volatility,ER,EUR
BNPICVXA,BNP Paribas Commodity Short Variance CVXA ER Index,Commodities,Short Variance,ER,EUR
