,HFRXAR,HFRXCA,HFRXDS,HFRXED,HFRXEDE,HFRXEH,HFRXEHE,HFRXEHG,HFRXEHV,HFRXEMC,HFRXEMN,HFRXEW,HFRXEWC,HFRXEWE,HFRXEWG,HFRXEWJ,HFRXFIC,HFRXGL,HFRXGLC,HFRXGLCD,HFRXGLE,HFRXGLG,HFRXGLJ,HFRXM,HFRXMA,HFRXMD,HFRXME,HFRXMLP,HFRXMREG,HFRXNA,HFRXRVA,HFRXRVAE,HFRXRVMS,HFRXSDV,HFRXSS
31/03/2003,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,1000.0,1000.0,,986.42,,,,1000.0,,,986.2,,,1000.0,1000.0,,1000.0,,,,1000.0,1000.0,,,
01/04/2003,,1000.54,1000.29,1000.45,1000.47,1003.76,1003.73,,,,1002.52,1001.43,,987.84,,,,1002.0,,1001.86,988.17,,,1001.51,1001.03,,1001.51,,,,1000.73,1000.74,,,
02/04/2003,,1001.21,1001.4,1003.03,1003.15,1008.31,1008.43,,,,998.36,1002.24,,988.75,,,,1004.23,,1004.42,990.49,,,1002.5,1000.36,,1002.62,,,,1000.79,1000.91,,,
03/04/2003,,1003.15,1005.81,1004.87,1005.04,1009.74,1009.91,,,,996.87,1003.06,,989.6,,,,1004.97,,1005.06,991.27,,,999.0,1002.84,,999.16,,,,1000.32,1000.48,,,
04/04/2003,,1005.0,1008.05,1006.13,1006.35,1008.19,1008.42,,,,996.14,1003.39,,989.98,,,,1004.96,,1005.09,991.31,,,999.18,1001.2,,999.38,,,,1001.62,1001.82,,,
07/04/2003,,1006.27,1009.38,1007.29,1007.55,1004.23,1004.46,,,,994.29,1003.25,,989.85,,,,1004.06,,1004.31,990.44,,,996.24,1000.97,,996.41,,,,1006.53,1006.78,,,
08/04/2003,,1008.13,1009.11,1006.21,1006.57,1003.03,1003.37,,,,996.45,1003.09,,989.81,,,,1003.46,,1003.76,989.96,,,995.85,999.51,,996.15,,,,1006.02,1006.38,,,
09/04/2003,,1009.33,1009.12,1004.85,1005.16,1002.37,1002.68,,,,995.86,1003.11,,989.8,,,,1003.19,,1003.4,989.65,,,996.96,1000.46,,997.27,,,,1005.88,1006.19,,,
10/04/2003,,1009.56,1009.85,1006.39,1006.75,1003.73,1004.09,,,,995.12,1003.18,,989.92,,,,1004.11,,1004.6,990.62,,,998.23,995.03,,998.6,,,,1006.59,1006.95,,,
11/04/2003,,1010.93,1012.0,1008.46,1008.94,1003.05,1003.51,,,,995.09,1003.87,,990.7,,,,1004.1,,1004.51,990.71,,,995.12,999.51,,995.56,,,,1006.53,1007.0,,,
14/04/2003,,1012.35,1012.16,1012.99,1013.44,1006.04,1006.49,,,,994.57,1005.45,,992.24,,,,1006.41,,1006.92,992.96,,,997.13,1000.08,,997.57,,,,1007.3,1007.75,,,
15/04/2003,,1012.97,1011.46,1014.98,1015.55,1006.31,1006.9,,,,992.19,1005.01,,991.95,,,,1006.56,,1007.08,993.25,,,996.48,996.84,,997.09,,,,1007.28,1007.87,,,
16/04/2003,,1016.28,1012.76,1015.05,1015.57,1002.76,1003.42,,,,990.54,1004.65,,991.64,,,,1005.22,,1005.7,991.98,,,997.31,996.64,,998.04,,,,1005.33,1005.96,,,
17/04/2003,,1016.26,1013.12,1019.04,1019.59,1005.07,1005.75,,,,988.0,1005.97,,992.98,,,,1007.31,,1008.03,994.06,,,1000.24,997.38,,1000.97,,,,1007.31,1007.97,,,
21/04/2003,,1013.68,1015.09,1018.81,1019.38,1008.64,1009.3,,,,988.62,1006.32,,993.33,,,,1008.69,,1009.54,995.42,,,999.77,995.21,,1000.5,,,,1008.37,1009.03,,,
22/04/2003,,1012.66,1014.88,1021.28,1021.62,1013.01,1013.49,,,,984.68,1007.26,,994.16,,,,1010.77,,1011.53,997.34,,,1000.77,998.7,,1001.47,,,,1008.57,1009.13,,,
23/04/2003,,1012.31,1018.5,1026.73,1027.03,1015.08,1015.57,,,,987.61,1009.29,,996.17,,,,1012.85,,1013.76,999.4,,,1000.14,1000.7,,1000.89,,,,1009.73,1010.32,,,
24/04/2003,,1016.05,1021.63,1026.37,1026.61,1015.19,1015.69,,,,990.53,1010.24,,997.13,,,,1013.03,,1014.96,999.59,,,996.92,1002.8,,997.84,,,,1009.63,1010.26,,,
25/04/2003,,1016.27,1022.83,1026.73,1027.03,1012.96,1013.58,,,,993.32,1010.5,,997.45,,,,1012.44,,1013.23,999.1,,,996.86,1003.22,,997.87,,,,1009.89,1010.59,,,
28/04/2003,,1019.03,1023.14,1028.93,1029.4,1016.35,1017.06,,,,989.81,1011.61,,998.66,,,,1014.35,,1015.4,1001.09,,,998.66,1004.87,,999.7,,,,1009.38,1010.22,,,
29/04/2003,,1015.76,1024.4,1030.07,1030.28,1015.75,1016.35,,,,990.48,1011.62,,998.59,,,,1014.2,,1015.15,1000.84,,,997.56,1006.11,,998.66,,,,1010.27,1011.02,,,
30/04/2003,,1018.14,1029.21,1035.32,1035.06,1019.31,1019.63,,,,991.34,1015.32,,1002.0,,,,1018.29,,1019.02,1004.59,,,1008.04,1006.82,,1008.77,,,,1011.38,1011.99,,,
01/05/2003,,1019.92,1028.77,1035.2,1035.27,1022.11,1022.63,,,,993.3,1016.55,,1003.38,,,,1019.83,,1021.1,1006.3,,,1010.34,1008.25,,1011.09,,,,1011.2,1011.99,,,
02/05/2003,,1019.39,1028.4,1038.3,1038.37,1026.77,1027.27,,,,992.46,1018.33,,1005.15,,,,1022.52,,1023.42,1008.96,,,1011.71,1012.71,,1012.48,,,,1012.67,1013.47,,,
05/05/2003,,1018.11,1031.19,1040.99,1041.03,1028.91,1029.38,,,,990.51,1018.86,,1005.69,,,,1023.87,,1024.89,1010.29,,,1012.68,1010.44,,1013.43,,,,1013.0,1013.85,,,
06/05/2003,,1019.17,1032.63,1042.54,1042.45,1028.35,1028.74,,,,991.38,1019.6,,1006.37,,,,1024.29,,1025.98,1010.63,,,1015.69,1010.24,,1016.23,,,,1012.11,1013.0,,,
07/05/2003,,1020.71,1030.29,1042.19,1042.29,1028.13,1028.7,,,,992.73,1019.96,,1006.86,,,,1024.52,,1025.16,1011.01,,,1020.43,1009.9,,1021.07,,,,1010.71,1011.74,,,
08/05/2003,,1023.62,1030.65,1040.67,1040.75,1027.46,1027.99,,,,996.26,1021.32,,1008.13,,,,1025.28,,1026.18,1011.69,,,1026.44,1009.62,,1026.7,,,,1011.92,1012.96,,,
09/05/2003,,1022.63,1032.04,1042.41,1042.42,1030.18,1030.61,,,,994.74,1022.15,,1008.91,,,,1026.99,,1028.0,1013.31,,,1028.37,1008.59,,1028.55,,,,1013.42,1014.4,,,
12/05/2003,,1021.36,1033.28,1044.95,1044.77,1034.14,1034.33,,,,992.64,1023.37,,1010.01,,,,1029.19,,1030.35,1015.32,,,1033.81,1009.59,,1033.59,,,,1011.33,1012.38,,,
13/05/2003,,1025.09,1035.63,1046.26,1046.11,1036.53,1036.71,,,,992.0,1025.07,,1011.69,,,,1030.83,,1031.88,1016.95,,,1035.1,1013.61,,1034.96,,,,1010.56,1011.68,,,
14/05/2003,,1026.65,1037.44,1045.67,1045.7,1039.14,1039.39,,,,994.13,1026.08,,1012.79,,,,1031.97,,1032.93,1018.18,,,1033.76,1015.13,,1033.9,,,,1010.84,1012.03,,,
15/05/2003,,1025.34,1038.74,1047.43,1047.63,1042.04,1042.49,,,,992.62,1025.78,,1012.7,,,,1032.46,,1033.57,1018.88,,,1024.96,1016.31,,1025.69,,,,1012.11,1013.37,,,
16/05/2003,,1026.51,1041.17,1050.61,1050.4,1043.98,1043.94,,,,995.66,1028.26,,1014.84,,,,1034.96,,1035.49,1020.97,,,1032.91,1016.62,,1032.89,,,,1011.89,1013.15,,,
19/05/2003,,1030.48,1042.77,1045.76,1045.66,1038.83,1038.88,,,,997.57,1028.03,,1014.52,,,,1032.95,,1033.78,1018.96,,,1036.17,1016.49,,1035.8,,,,1011.24,1012.51,,,
20/05/2003,,1031.34,1041.75,1046.75,1046.55,1038.21,1038.22,,,,997.67,1028.53,,1014.94,,,,1033.32,,1033.83,1019.25,,,1037.74,1017.0,,1037.13,,,,1012.98,1014.17,,,
21/05/2003,,1031.33,1044.03,1048.16,1048.12,1042.33,1042.41,,,,998.63,1030.58,,1017.09,,,,1036.14,,1036.9,1022.14,,,1040.59,1017.97,,1040.22,,,,1016.07,1017.26,,,
22/05/2003,,1028.76,1044.44,1050.56,1050.36,1047.6,1047.33,,,,997.06,1031.25,,1017.68,,,,1038.26,,1039.17,1024.07,,,1042.53,1018.12,,1041.92,,,,1013.89,1015.21,,,
23/05/2003,,1028.05,1043.62,1051.65,1051.17,1052.07,1051.2,,,,995.65,1032.93,,1019.05,,,,1041.26,,1042.62,1026.61,,,1049.62,1017.98,,1048.09,,,,1016.5,1017.64,,,
27/05/2003,,1026.94,1042.36,1052.69,1052.25,1057.53,1056.43,,,,993.81,1033.62,,1019.78,,,,1043.48,,1044.64,1028.76,,,1051.09,1018.47,,1049.6,,,,1016.19,1017.43,,,
28/05/2003,,1027.43,1043.29,1052.6,1052.35,1056.15,1055.41,,,,992.14,1032.48,,1018.9,,,,1042.09,,1043.82,1027.69,,,1046.22,1018.01,,1045.34,,,,1014.42,1015.87,,,
29/05/2003,,1035.55,1044.73,1054.14,1053.58,1056.41,1055.25,,,,993.52,1034.82,,1020.88,,,,1043.9,,1045.08,1029.09,,,1053.54,1017.68,,1051.66,,,,1013.91,1015.4,,,
30/05/2003,,1034.64,1046.68,1060.06,1059.4,1062.38,1061.27,,,,992.48,1035.54,,1021.78,,,,1046.01,,1047.1,1031.35,,,1046.81,1019.22,,1045.88,,,,1011.55,1013.24,,,
02/06/2003,,1036.72,1047.59,1064.62,1063.92,1062.94,1061.58,,,,990.85,1036.55,,1022.71,,,,1047.2,,1048.9,1032.39,,,1048.5,1019.26,,1047.24,,,,1011.25,1013.0,,,
03/06/2003,,1037.68,1048.45,1065.22,1064.65,1061.11,1059.83,,,,993.91,1037.27,,1023.53,,,,1047.21,,1049.3,1032.5,,,1053.04,1018.26,,1051.93,,,,1010.54,1012.35,,,
04/06/2003,,1038.67,1049.35,1072.11,1071.84,1064.32,1063.19,,,,992.0,1038.27,,1024.62,,,,1049.31,,1051.1,1034.71,,,1053.11,1016.31,,1052.11,,,,1009.22,1011.03,,,
05/06/2003,,1029.04,1049.21,1072.93,1072.46,1069.5,1068.39,,,,988.67,1039.02,,1025.4,,,,1052.09,,1053.78,1037.47,,,1064.13,1015.6,,1063.19,,,,1010.01,1012.03,,,
06/06/2003,,1037.38,1052.09,1071.79,1071.55,1069.02,1068.06,,,,986.69,1039.0,,1025.45,,,,1051.78,,1053.87,1037.28,,,1062.33,1012.04,,1061.58,,,,1007.91,1009.84,,,
09/06/2003,,1037.4,1055.98,1070.03,1069.76,1061.37,1060.31,,,,987.39,1038.3,,1024.77,,,,1048.95,,1051.11,1034.45,,,1062.43,1012.15,,1061.68,,,,1008.98,1010.96,,,
10/06/2003,,1031.14,1057.3,1073.41,1073.23,1065.24,1064.23,,,,986.79,1038.79,,1025.25,,,,1050.57,,1053.11,1036.07,,,1063.48,1013.46,,1062.77,,,,1007.69,1009.59,,,
