;MSCI WORLD ex USA ;MSCI World
31/12/1969;100.000;100.000
30/01/1970;97.655;94.249
27/02/1970;96.154;96.979
31/03/1970;95.857;97.075
30/04/1970;85.564;87.8
29/05/1970;79.005;82.06
30/06/1970;79.616;79.837
31/07/1970;82.5;84.585
31/08/1970;83.872;87.175
30/09/1970;86.212;89.788
30/10/1970;83.612;88.264
30/11/1970;80.539;90.035
31/12/1970;83.169;94.292
29/01/1971;86.822;98.42
26/02/1971;87.642;99.255
31/03/1971;91.874;103.407
30/04/1971;93.632;106.587
31/05/1971;94.157;103.859
30/06/1971;95.568;104.711
30/07/1971;97.775;102.836
31/08/1971;96.022;104.877
30/09/1971;95.532;103.676
29/10/1971;91.302;99.54
30/11/1971;92.736;100.176
31/12/1971;106.628;108.993
31/01/1972;114.13;112.774
29/02/1972;120.791;116.888
31/03/1972;121.788;118.297
28/04/1972;126.216;119.654
31/05/1972;134.552;121.882
30/06/1972;129.708;118.841
31/07/1972;137.525;120.466
31/08/1972;138.917;123.677
29/09/1972;131.937;121.59
31/10/1972;131.481;122.381
30/11/1972;142.083;128.591
29/12/1972;144.924;130.737
31/01/1973;151.219;130.825
28/02/1973;166.424;131.515
30/03/1973;169.828;131.476
30/04/1973;157.902;124.631
31/05/1973;160.323;124.046
29/06/1973;162.222;124.611
31/07/1973;162.004;127.351
31/08/1973;152.887;121.822
28/09/1973;155.384;125.11
31/10/1973;158.018;126.136
30/11/1973;131.816;109.548
31/12/1973;125.497;108.41
31/01/1974;130.855;109.006
28/02/1974;135.8;110.459
29/03/1974;131.864;107.416
30/04/1974;133.657;105.382
31/05/1974;126.218;100.892
28/06/1974;119.393;97.476
31/07/1974;115.636;91.462
30/08/1974;103.201;82.39
30/09/1974;96.846;74.454
31/10/1974;96.354;81.329
29/11/1974;99.073;79.808
31/12/1974;97.663;78.237
31/01/1975;113.723;89.398
28/02/1975;127.138;97.047
31/03/1975;125.265;97.51
30/04/1975;129.651;101.3
30/05/1975;128.945;103.447
30/06/1975;124.476;104.504
31/07/1975;119.384;98.483
29/08/1975;118.362;96.723
30/09/1975;112.105;92.428
31/10/1975;119.622;98.555
28/11/1975;122.224;101.013
31/12/1975;123.894;100.862
30/01/1976;130.334;109.636
27/02/1976;129.687;108.582
31/03/1976;126.88;109.621
30/04/1976;126.344;108.579
31/05/1976;122.966;106.525
30/06/1976;124.116;109.558
30/07/1976;122.024;108.288
31/08/1976;121.294;107.791
30/09/1976;119.005;108.443
29/10/1976;111.564;104.395
30/11/1976;110.956;103.725
31/12/1976;123.094;111.262
31/01/1977;121.624;107.261
28/02/1977;123.751;106.52
31/03/1977;123.662;105.581
29/04/1977;126.134;106.46
31/05/1977;125.075;104.734
30/06/1977;127.66;108.395
29/07/1977;125.517;106.659
31/08/1977;129.668;106.77
30/09/1977;133.071;107.812
31/10/1977;134.699;105.68
30/11/1977;133.927;106.709
30/12/1977;138.651;108.521
31/01/1978;139.158;105.02
28/02/1978;140.12;103.901
31/03/1978;149.401;108.282
28/04/1978;148.017;112.831
31/05/1978;151.066;113.929
30/06/1978;156.711;114.736
31/07/1978;169.66;122.677
31/08/1978;172.637;125.16
29/09/1978;177.214;126.266
31/10/1978;185.304;123.462
30/11/1978;169.325;118.757
29/12/1978;176.987;122.28
31/01/1979;177.852;125.06
28/02/1979;177.007;122.353
30/03/1979;181.47;127.068
30/04/1979;180.676;126.522
31/05/1979;177.648;123.964
29/06/1979;180.847;127.17
31/07/1979;181.296;127.746
31/08/1979;186.619;132.489
28/09/1979;195.023;135.076
31/10/1979;178.318;124.639
30/11/1979;181.659;128.077
31/12/1979;188.109;131.101
31/01/1980;199.142;138.591
29/02/1980;200.977;138.248
31/03/1980;175.394;122.959
30/04/1980;190.401;130.581
30/05/1980;199.657;136.573
30/06/1980;211.804;142.683
31/07/1980;211.124;146.628
29/08/1980;217.53;149.054
30/09/1980;224.725;153.086
31/10/1980;231.752;157.102
28/11/1980;227.653;163.233
31/12/1980;225.415;159.228
30/01/1981;220.362;154.155
27/02/1981;216.733;154.165
31/03/1981;224.641;159.204
30/04/1981;228.793;158.838
29/05/1981;220.348;155.298
30/06/1981;219.806;154.584
31/07/1981;210.301;151.506
31/08/1981;214.622;148.096
30/09/1981;192.049;136.528
30/10/1981;193.69;140.274
30/11/1981;214.445;150.253
31/12/1981;210.827;146.62
29/01/1982;206.748;144.023
26/02/1982;192.045;134.865
31/03/1982;181.973;130.746
30/04/1982;191.761;136.721
31/05/1982;188.445;132.831
30/06/1982;172.896;126.395
30/07/1982;171.492;124.336
31/08/1982;173.603;132.927
30/09/1982;172.295;133.113
29/10/1982;174.344;141.829
30/11/1982;186.914;148.919
31/12/1982;201.99;155.156
31/01/1983;201.244;158.034
28/02/1983;205.171;160.914
31/03/1983;212.309;166.139
29/04/1983;225.194;177.561
31/05/1983;224.46;175.382
30/06/1983;229.07;180.452
29/07/1983;229.258;176.796
31/08/1983;225.762;177.312
30/09/1983;232.288;180.467
31/10/1983;229.175;177.908
30/11/1983;236.163;182.06
30/12/1983;244.434;183.952
31/01/1984;252.018;185.039
29/02/1984;254.927;181.537
30/03/1984;274.567;189.609
30/04/1984;269.279;188.45
31/05/1984;243.379;173.852
29/06/1984;241.758;174.884
31/07/1984;225.474;168.266
31/08/1984;245.569;184.682
28/09/1984;242.767;183.518
31/10/1984;246.725;185.009
30/11/1984;242.784;183.845
31/12/1984;245.972;187.205
31/01/1985;252.444;197.057
28/02/1985;249.598;196.964
29/03/1985;267.777;203.303
30/04/1985;266.539;202.242
31/05/1985;276.678;212.126
28/06/1985;282.28;215.397
31/07/1985;295.328;219.314
30/08/1985;302.872;220.587
30/09/1985;316.963;221.702
31/10/1985;334.817;233.095
29/11/1985;348.867;245.573
31/12/1985;363.191;256.514
31/01/1986;371.026;259.748
28/02/1986;408.819;282.575
31/03/1986;463.471;309.601
30/04/1986;491.333;317.502
30/05/1986;470.008;315.983
30/06/1986;498.791;328.041
31/07/1986;526.023;330.052
29/08/1986;576.296;358.26
30/09/1986;570.451;343.351
31/10/1986;533.669;336.821
28/11/1986;562.831;350.458
31/12/1986;590.842;356.825
30/01/1987;653.954;398.106
27/02/1987;673.671;410.589
31/03/1987;729.766;435.354
30/04/1987;801.64;460.209
29/05/1987;800.295;460.177
30/06/1987;776.517;459.236
31/07/1987;778.898;467.738
31/08/1987;833.519;494.701
30/09/1987;820.223;485.4
30/10/1987;700.302;402.279
