,FSTEMIB,CAC 40,DAX,IBEX,SX5E
04/01/2010,23545.0,4013.969971,6048.299805,12145.099609,3017.800049
05/01/2010,23555.699219,4012.9099119999996,6031.859863000001,12204.400391,3012.360107
06/01/2010,23622.300781,4017.669922,6034.330078,12222.5,3009.659912
07/01/2010,23709.0,4024.8000490000004,6019.359863000001,12166.299805,3007.340088
08/01/2010,23811.099609,4045.139893,6037.609863000001,12163.0,3017.850098
11/01/2010,23774.800781,4043.0900880000004,6040.5,12074.5,3010.23999
12/01/2010,23583.300781,4000.0500490000004,5943.0,11966.099609,2976.889893
13/01/2010,23658.400391,4000.860107,5963.140136999999,11958.299805,2978.409912
14/01/2010,23806.0,4015.7700200000004,5988.879883,11999.799805,2989.709961
15/01/2010,23472.099609,3954.3798829999996,5875.970215,11845.0,2940.25
18/01/2010,23509.800781,3977.459961,5918.549805,11870.700195,2957.8701170000004
19/01/2010,23705.699219,4009.669922,5976.47998,12022.599609,2984.820068
20/01/2010,23126.0,3928.9499509999996,5851.529785,11709.0,2914.600098
21/01/2010,22876.5,3862.1599119999996,5746.970215,11444.0,2863.25
22/01/2010,22567.800781,3820.780029,5695.319824,11373.400391,2836.800049
25/01/2010,22373.099609,3781.850098,5631.370117,11249.299805,2807.300049
26/01/2010,22407.699219,3807.040039,5668.930176,11347.299805,2827.73999
27/01/2010,21997.599609,3759.8000490000004,5643.200195,11042.200195,2787.399902
28/01/2010,21603.099609,3688.790039,5540.330078,10829.299805,2737.330078
29/01/2010,21896.300781,3739.459961,5608.790039,10947.700195,2776.830078
01/02/2010,22012.0,3762.01001,5654.47998,10995.200195,2793.290039
02/02/2010,22413.699219,3812.1298829999996,5709.660156,11140.900391,2830.01001
03/02/2010,22169.199219,3793.469971,5672.089844,10888.400391,2804.610107
04/02/2010,21404.800781,3689.25,5533.240234000001,10241.700195,2707.449951
05/02/2010,20815.900391,3563.76001,5434.339844,10103.299805,2631.639893
08/02/2010,20938.199219,3607.2700200000004,5484.850098,10206.299805,2664.290039
09/02/2010,20819.0,3612.76001,5498.259765999999,10275.400391,2668.429932
10/02/2010,21241.599609,3635.610107,5536.370117,10455.0,2700.169922
11/02/2010,21076.400391,3616.75,5503.930176,10281.700195,2680.25
12/02/2010,21035.900391,3599.070068,5500.390136999999,10224.900391,2674.459961
15/02/2010,21122.5,3609.219971,5511.100098,10293.599609,2683.830078
16/02/2010,21289.199219,3669.040039,5592.120117,10393.900391,2720.77002
17/02/2010,21650.800781,3725.209961,5648.339844,10498.599609,2762.25
18/02/2010,21686.099609,3747.830078,5680.410156,10574.200195,2778.300049
19/02/2010,21772.300781,3769.540039,5722.049805,10676.700195,2793.3701170000004
22/02/2010,21704.800781,3756.6999509999996,5688.439941,10570.5,2778.1201170000004
23/02/2010,21224.099609,3707.0600590000004,5604.069824,10312.900391,2730.570068
24/02/2010,21346.300781,3715.679932,5615.509765999999,10254.0,2734.949951
25/02/2010,20843.199219,3640.7700200000004,5532.330078,10126.200195,2684.419922
26/02/2010,21068.300781,3708.8000490000004,5598.459961,10333.599609,2728.469971
01/03/2010,21320.800781,3769.540039,5713.509765999999,10434.900391,2772.699951
02/03/2010,21326.300781,3811.919922,5776.560059,10521.5,2784.0
