,FSTEMIB,CAC 40,DAX,SP 500,IBEX,SX5E
2000-01-03,41226.0,5917.370117,6750.759765999999,1455.219971,11610.0,4849.220215
2000-01-04,40314.0,5672.02002,6586.950195,1399.420044,11206.599609,4657.830078
2000-01-05,39452.0,5479.700195,6502.069824,1402.109985,10863.099609,4541.75
2000-01-06,38835.0,5450.109863000001,6474.919922,1403.449951,10863.099609,4500.689941
2000-01-07,40194.0,5539.609863000001,6780.959961,1441.469971,11102.400391,4648.27002
2000-01-10,39711.0,5646.120117,6925.52002,1457.599976,11173.299805,4714.029785
2000-01-11,39870.0,5613.899902,6891.25,1438.560059,11012.400391,4671.5
2000-01-12,40289.0,5582.5,6912.810059,1432.25,10851.799805,4649.299805
2000-01-13,40499.0,5633.240234000001,6955.97998,1449.680054,10931.900391,4688.350098
2000-01-14,41588.0,5787.439941,7173.220215,1465.150024,11184.0,4829.359863000001
2000-01-17,41546.0,5842.779785,7258.899901999999,1465.150024,11285.599609,4884.5
2000-01-18,41109.0,5672.950195,7072.120117,1455.140015,11066.299805,4761.0
2000-01-19,41436.0,5649.459961,7091.040039,1455.900024,11120.700195,4768.370117
2000-01-20,41690.0,5709.740234000001,7112.660156,1445.569946,11047.599609,4778.709961
2000-01-21,41702.0,5681.319824,6992.75,1441.359985,10969.299805,4719.290039
2000-01-24,42012.0,5690.859863000001,6931.990234000001,1401.530029,10955.0,4718.759765999999
2000-01-25,41165.0,5597.5,6809.640137,1410.030029,10863.5,4653.609863000001
2000-01-26,41361.0,5646.319824,6969.370117,1404.089966,11031.400391,4721.029785
2000-01-27,41939.0,5688.350098,7126.129883,1398.560059,11206.599609,4786.819824
2000-01-28,41854.0,5731.049805,7066.600098000001,1360.160034,11009.299805,4781.939941
2000-01-31,41463.0,5659.810059,6835.600098000001,1394.459961,10835.099609,4684.47998
2000-02-01,42403.0,5773.419922,7050.459961,1409.280029,10970.0,4792.040039
2000-02-02,42993.0,5946.859863000001,7171.950195,1409.119995,11195.599609,4902.120117
2000-02-03,43889.0,6149.669922,7354.259765999999,1424.969971,11544.099609,5046.120117
2000-02-04,44091.0,6275.720215,7444.609863,1424.369995,11580.099609,5119.790039
2000-02-07,43730.0,6203.580078,7296.319823999999,1424.23999,11506.799805,5041.080078
2000-02-08,45150.0,6297.660156,7549.879883,1441.719971,11834.799805,5176.169922
2000-02-09,45101.0,6271.600098,7629.109863,1411.709961,11939.5,5191.790039
2000-02-10,45785.0,6207.52002,7709.27002,1416.829956,12020.599609,5174.350098
2000-02-11,46878.0,6287.009765999999,7611.549805,1387.119995,12432.599609,5195.669922
2000-02-14,47395.0,6268.319824,7644.799805,1389.939941,12458.599609,5166.080078
2000-02-15,45726.0,6092.629883,7396.129883,1402.050049,12165.099609,5043.330078
2000-02-16,46446.0,6046.27002,7490.319823999999,1387.670044,12235.099609,5063.72998
2000-02-17,46807.0,6154.959961,7580.529785,1388.26001,12326.700195,5114.470215
2000-02-18,46602.0,6062.720215,7573.779785,1346.089966,12368.0,5079.589844
2000-02-21,46014.0,5967.279785,7590.529785,1346.089966,12260.299805,5033.330078
2000-02-22,46034.0,5963.310059,7607.939941,1352.170044,12076.900391,5024.049805
2000-02-23,47134.0,6031.25,7698.970215,1360.689941,12312.299805,5086.0
2000-02-24,46907.0,6078.779785,7640.529785,1353.430054,12352.299805,5117.410156
2000-02-25,48235.0,6188.640136999999,7738.680176000001,1333.359985,12690.900391,5208.870117
2000-02-28,47746.0,6102.72998,7587.129883,1348.050049,12467.0,5126.330078
2000-02-29,48479.0,6190.959961,7644.549805,1366.420044,12585.799805,5182.620117
